project_id,project_name,issue_count,creator.key,reporter.key,components,project_start_date,project_latest_date,avg_resolution_hours,median_resolution_hours,min_resolution_hours,max_resolution_hours,resolution_hours_std,total_resolution_hours,issuetype.name_Enhancement,issuetype.name_Analysis,issuetype.name_Problem,issuetype.name_Typo,issuetype.name_Problem Ticket,issuetype.name_Backport,issuetype.name_Technical Requirement,issuetype.name_Support Request,issuetype.name_Task,issuetype.name_Public Security Vulnerability,issuetype.name_Sub-task,issuetype.name_Third-party issue,issuetype.name_Clarification,issuetype.name_Plugin Release Request,issuetype.name_Dev Task,issuetype.name_Spec Change,issuetype.name_Feedback,issuetype.name_A/B Test,issuetype.name_Tracker,issuetype.name_Spike,issuetype.name_Ask a question,issuetype.name_Risk,issuetype.name_Support Patch,issuetype.name_Market Problem,issuetype.name_RFE,issuetype.name_Feature Request,issuetype.name_Component Upgrade Subtask,issuetype.name_Infrastructure,issuetype.name_Business Requirement,issuetype.name_Documentation,issuetype.name_Feature,issuetype.name_Incident,issuetype.name_Build Failure,issuetype.name_Suggestion,issuetype.name_Investigation,issuetype.name_Question,issuetype.name_Patch,issuetype.name_Docs Task,issuetype.name_Atlassian Incident,issuetype.name_Purchase,issuetype.name_Issue,issuetype.name_Test Task,issuetype.name_Workload,issuetype.name_New Feature,issuetype.name_Backport Sub-Task,issuetype.name_CTS Challenge,issuetype.name_QE Sub-task,issuetype.name_Bug,issuetype.name_Pricing Change,issuetype.name_Design Request,issuetype.name_Initiative,issuetype.name_OKR,issuetype.name_Tracking,issuetype.name_Component Upgrade,issuetype.name_Library Upgrade,issuetype.name_Success Metric,issuetype.name_Improvement,issuetype.name_Doc API,issuetype.name_App Incident,issuetype.name_Payment Support,issuetype.name_Technical task,issuetype.name_Requirement,issuetype.name_Dev Sub-task,issuetype.name_Simple Task,issuetype.name_Epic,issuetype.name_Release,issuetype.name_IT Help,issuetype.name_Quality Risk,issuetype.name_Story,issuetype.name_Technical Debt,issuetype.name_Doc UI,issuetype.name_Docs Sub-task,issuetype.name_QE Task,status.name_Approved,status.name_In Progress,status.name_Verified,status.name_Dropped,status.name_In Review,status.name_Defining,status.name_To Do,creator_count,reporter_count,team_size_estimate,issues_per_team_member,resolution_hours_per_team_member,team_role_diversity,project_class,pca_x,pca_y
10000.0,Core Server,52972,5935,6014,set(),2009-04-08 08:01:26.000,2021-12-30 14:56:12.000,3966.524720360652,391.15930555555553,0.0008333333333333,106486.02444444444,10644.475352544105,210114747.48694444,0,0,0,0,0,0,0,0,13782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,0,0,0,0,2324,0,0,0,24794,0,0,0,0,0,0,0,0,10643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5935,6014,6014,8.808114399733954,34937.60350630935,0.009349976686540674,0,2.030340249480198,-0.3414634274901211
10001.0,Sawtooth,1249,62,62,set(),2016-07-18 17:01:57.000,2020-01-30 11:11:43.000,3676.965128324882,646.9213888888889,0.0008333333333333,37121.55194444444,8562.217415121533,4592529.4452777775,0,0,0,0,0,0,0,0,55,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,182,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,20.14516129032258,74073.05556899641,0.0,0,-0.5414076050174549,-0.3224542535010349
10002.0,Fabric,13245,826,826,set(),2016-07-28 05:40:02.000,2021-08-18 13:57:37.000,2850.95311027222,505.29777777777775,0.0016666666666666,42909.80944444444,5201.117946104354,37760873.94555555,0,0,0,0,0,0,0,0,2568,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,2551,0,0,0,0,0,0,0,0,0,0,0,826,826,826,16.03510895883777,45715.34375975248,0.0,0,-0.08916847303244241,-0.37179013500085784
10004.0,Python Driver,2611,642,646,set(),2009-04-09 09:38:38.000,2021-12-16 11:48:52.000,2425.97891357079,286.4775,0.0072222222222222,77684.9675,6638.218165652036,6334230.943333333,0,0,0,0,0,0,0,0,862,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,260,0,0,0,866,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,646,646,4.041795665634675,9805.311057791538,0.004391967585009612,0,-0.2978307096098694,-0.039818200284063035
10005.0,Ruby Driver,2395,435,446,set(),2009-04-09 09:42:17.000,2021-12-30 16:36:03.000,1678.8013274182324,435.96472222222224,0.0019444444444444,36991.87583333333,3279.2892243728047,4020729.179166666,0,0,0,0,0,0,0,0,438,0,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,825,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,446,446,5.369955156950673,9015.087845665172,0.017657604070492675,0,-0.4675621711192337,-0.3427925583084102
10006.0,Java Driver,3819,1158,1166,set(),2009-04-17 20:00:51.000,2021-12-15 21:05:25.000,3203.9729882749994,407.8363888888889,0.0008333333333333,65986.90388888889,7695.293715243793,12235972.842222225,0,0,0,0,0,0,0,0,585,0,86,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,499,0,0,0,1095,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,1166,1166,3.275300171526587,10493.973278063657,0.004868205033986558,0,-0.26274048479314305,-0.14897253932585763
10020.0,Tools (JBoss Tools),26045,1045,1045,set(),2003-01-31 10:45:12.000,2021-12-30 07:31:24.000,3828.441491670399,240.84583333333333,0.0016666666666666,142659.73416666666,12674.540583073278,99711758.65055557,1261,0,0,0,0,0,0,0,3104,0,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3616,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14012,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,26,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1045,1045,1045,24.923444976076556,95417.95086177567,0.0,0,0.848217308150988,0.2517717723149972
10021.0,EJB 3.0,1764,261,261,set(),2004-12-13 11:37:00.000,2013-02-20 04:30:31.000,3092.446531399597,235.86291666666668,0.0013888888888888,114750.1888888889,8234.53029996747,5455075.6813888885,1,0,0,0,0,0,0,0,545,0,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,232,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,6.758620689655173,20900.673108769686,0.0,0,-0.216531269606218,0.25569834624030013
10030.0,Application Server 3  4  5 and 6,8094,1259,1259,set(),2001-04-06 03:49:30.000,2017-05-08 23:57:09.000,7433.758957320923,1533.2168055555555,0.0019444444444444,73030.91222222222,11679.062691531406,60168845.00055555,4,0,0,0,0,0,0,0,1316,0,1319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1059,222,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,2,0,4002,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1259,1259,1259,6.428911834789515,47790.98093769305,0.0,0,-0.056656985941927945,-0.13678319125555163
10030.0,C Driver,2901,360,362,set(),2011-04-08 20:06:10.000,2021-12-20 20:01:11.000,1974.658166915623,473.5833333333333,0.0027777777777777,43533.923055555555,3862.1182733633254,5728483.342222222,0,0,0,0,0,0,0,0,446,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,1306,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,362,362,8.013812154696133,15824.539619398403,0.0039174890924462465,0,-0.426790235885996,-0.29656260740318285
