project_id,project_name,issue_count,fields.creator.key_<lambda>,fields.reporter.key_<lambda>,total_links,avg_links_per_issue,fields.components_<lambda>,total_components,avg_components_per_issue,total_labels,avg_labels_per_issue,project_start_date,project_latest_date,avg_resolution_hours,median_resolution_hours,min_resolution_hours,max_resolution_hours,resolution_hours_std,total_resolution_hours,fields.issuetype.name_<lambda>_Enhancement,fields.issuetype.name_<lambda>_Analysis,fields.issuetype.name_<lambda>_Problem,fields.issuetype.name_<lambda>_Typo,fields.issuetype.name_<lambda>_Problem Ticket,fields.issuetype.name_<lambda>_Backport,fields.issuetype.name_<lambda>_Technical Requirement,fields.issuetype.name_<lambda>_Support Request,fields.issuetype.name_<lambda>_Task,fields.issuetype.name_<lambda>_Public Security Vulnerability,fields.issuetype.name_<lambda>_Sub-task,fields.issuetype.name_<lambda>_Third-party issue,fields.issuetype.name_<lambda>_Clarification,fields.issuetype.name_<lambda>_Plugin Release Request,fields.issuetype.name_<lambda>_Dev Task,fields.issuetype.name_<lambda>_Spec Change,fields.issuetype.name_<lambda>_Feedback,fields.issuetype.name_<lambda>_A/B Test,fields.issuetype.name_<lambda>_Tracker,fields.issuetype.name_<lambda>_Spike,fields.issuetype.name_<lambda>_Ask a question,fields.issuetype.name_<lambda>_Risk,fields.issuetype.name_<lambda>_Support Patch,fields.issuetype.name_<lambda>_Market Problem,fields.issuetype.name_<lambda>_RFE,fields.issuetype.name_<lambda>_Feature Request,fields.issuetype.name_<lambda>_Component Upgrade Subtask,fields.issuetype.name_<lambda>_Infrastructure,fields.issuetype.name_<lambda>_Business Requirement,fields.issuetype.name_<lambda>_Documentation,fields.issuetype.name_<lambda>_Feature,fields.issuetype.name_<lambda>_Incident,fields.issuetype.name_<lambda>_Build Failure,fields.issuetype.name_<lambda>_Suggestion,fields.issuetype.name_<lambda>_Investigation,fields.issuetype.name_<lambda>_Question,fields.issuetype.name_<lambda>_Patch,fields.issuetype.name_<lambda>_Docs Task,fields.issuetype.name_<lambda>_Atlassian Incident,fields.issuetype.name_<lambda>_Purchase,fields.issuetype.name_<lambda>_Issue,fields.issuetype.name_<lambda>_Test Task,fields.issuetype.name_<lambda>_Workload,fields.issuetype.name_<lambda>_New Feature,fields.issuetype.name_<lambda>_Backport Sub-Task,fields.issuetype.name_<lambda>_CTS Challenge,fields.issuetype.name_<lambda>_QE Sub-task,fields.issuetype.name_<lambda>_Bug,fields.issuetype.name_<lambda>_Pricing Change,fields.issuetype.name_<lambda>_Design Request,fields.issuetype.name_<lambda>_Initiative,fields.issuetype.name_<lambda>_OKR,fields.issuetype.name_<lambda>_Tracking,fields.issuetype.name_<lambda>_Component Upgrade,fields.issuetype.name_<lambda>_Library Upgrade,fields.issuetype.name_<lambda>_Success Metric,fields.issuetype.name_<lambda>_Improvement,fields.issuetype.name_<lambda>_Doc API,fields.issuetype.name_<lambda>_App Incident,fields.issuetype.name_<lambda>_Payment Support,fields.issuetype.name_<lambda>_Technical task,fields.issuetype.name_<lambda>_Requirement,fields.issuetype.name_<lambda>_Dev Sub-task,fields.issuetype.name_<lambda>_Simple Task,fields.issuetype.name_<lambda>_Epic,fields.issuetype.name_<lambda>_Release,fields.issuetype.name_<lambda>_IT Help,fields.issuetype.name_<lambda>_Quality Risk,fields.issuetype.name_<lambda>_Story,fields.issuetype.name_<lambda>_Technical Debt,fields.issuetype.name_<lambda>_Doc UI,fields.issuetype.name_<lambda>_Docs Sub-task,fields.issuetype.name_<lambda>_QE Task,fields.status.name_<lambda>_Approved,fields.status.name_<lambda>_In Progress,fields.status.name_<lambda>_Verified,fields.status.name_<lambda>_Dropped,fields.status.name_<lambda>_In Review,fields.status.name_<lambda>_Defining,fields.status.name_<lambda>_To Do
10041.0,C# Driver,3191,958,970,0.0,0.0,set(),0,0.0,0,0.0,2010-02-12 13:42:38.000,2021-12-14 13:36:07.000,4346.355662018176,664.1988888888889,0.011111111111111112,87965.7688888889,9472.674323310373,13869220.9175,0,0,0,0,0,0,0,0,886,0,21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,453,0,0,0,1061,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052.0,jBPM,7361,1016,1016,0.0,0.0,set(),0,0.0,0,0.0,2004-11-23 04:07:55.000,2021-12-16 13:52:28.000,3808.1214228894023,695.1408333333334,0.001388888888888889,81063.58638888889,8054.119114385649,28031581.79388889,613,0,0,0,0,0,0,0,1216,0,285,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1478,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3606,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,26,15,0,21,42,0,0,0,0,0,0,0,0,0,0,0
10053.0,JGroups,2438,377,377,0.0,0.0,set(),0,0.0,0,0.0,2004-12-24 09:01:07.000,2022-01-03 10:21:02.000,3078.158809019232,162.53694444444443,0.0016666666666666668,137169.2138888889,10200.018421312676,7504551.176388889,258,0,0,0,0,0,0,0,448,0,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,535,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10071.0,Seam 2,4134,817,817,0.0,0.0,set(),0,0.0,0,0.0,2004-11-26 12:21:34.000,2016-12-12 06:09:57.000,4018.559218002473,257.1813888888889,0.001388888888888889,124255.58916666667,11491.221028538652,16612723.807222223,12,0,0,0,0,0,0,0,546,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1220,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,2204,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10100.0,Blockchain Explorer,776,101,104,0.0,0.0,set(),0,0.0,0,0.0,2016-10-02 11:40:59.000,2021-07-27 12:27:40.000,1599.0603311139748,354.12416666666667,0.005,23300.596388888887,3166.3242187923033,1240870.8169444446,0,0,0,0,0,0,0,0,289,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,181,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10108.0,Shared Access Layer,353,1,1,0.0,0.0,set(),0,0.0,0,0.0,2008-07-11 06:08:50.963,2020-12-09 01:20:20.704,7510.891307817123,808.7287341666666,0.008878333333333334,50996.236818888894,11709.062734797837,2651344.6316594444,0,0,0,0,0,0,0,0,51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,126,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
10130.0,Application Links,1195,1,1,0.0,0.0,set(),0,0.0,0,0.0,2007-12-04 16:20:33.000,2020-06-06 11:15:16.024,9856.637571852627,735.0810202777777,0.006141666666666667,88133.05006027778,19321.651672696167,11778681.898363888,0,0,0,0,0,0,0,0,121,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,647,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
10200.0,Cello,662,75,75,0.0,0.0,set(),0,0.0,0,0.0,2017-01-12 01:42:26.000,2019-12-09 19:00:46.000,898.9668689157436,128.39930555555554,0.05361111111111111,11134.939166666667,1750.5705616580497,595116.0672222222,0,0,0,0,0,0,0,0,130,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,185,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10200.0,Minecraft (Bedrock codebase),140317,83872,83862,0.0,0.0,set(),0,0.0,0,0.0,2012-09-06 12:16:10.000,2022-01-04 21:51:23.000,2194.1584964936537,19.565555555555555,0.0002777777777777778,77519.27638888889,3948.7457703565924,307877737.7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10240.0,Atlassian Plugins,1104,1,1,0.0,0.0,set(),0,0.0,0,0.0,2005-03-16 05:06:49.959,2021-12-02 02:35:20.031,6491.433746867451,456.3802990277778,0.002536388888888889,72213.21382944444,12394.452166693516,7166542.856541666,0,0,0,0,0,0,0,0,62,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,549,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
